number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gradient_accumulation_steps,params_learning_rate,params_lora_alpha,params_lora_dropout,params_lr_scheduler_type,params_num_train_epochs,params_r,params_warmup_steps,params_weight_decay,state
0,0.035784855,15:15.2,36:46.3,0 days 00:21:31.058273,4,2,4.29E-05,32,0.017411987,linear,3,32,50,0.056288786,COMPLETE
1,0.033930827,36:46.3,57:47.4,0 days 00:21:01.099416,4,2,0.000430088,8,0.088544926,cosine,3,32,40,0.040403204,COMPLETE
2,0.044521753,57:47.4,31:58.3,0 days 00:34:10.892453,4,8,1.13E-05,64,0.049761685,cosine,5,32,10,0.011420956,COMPLETE
3,0.040190306,31:58.3,44:59.4,0 days 00:13:01.159374,8,2,0.000139467,8,0.099892676,cosine,2,32,20,0.095460487,COMPLETE
4,0.045083821,44:59.5,01:03.6,0 days 00:16:04.183174,2,4,2.93E-05,8,0.029358631,linear,2,8,10,0.01848834,COMPLETE
5,0.037074298,01:03.7,25:08.9,0 days 00:24:05.205863,2,4,1.49E-05,64,0.080686861,cosine,3,16,40,0.045224948,COMPLETE
6,0.272105515,25:08.9,44:24.1,0 days 00:19:15.210063,8,4,1.85E-05,8,0.035099247,cosine,3,32,40,0.058129725,COMPLETE
7,0.044377528,44:24.1,12:05.2,0 days 00:27:41.135833,4,4,2.64E-05,8,0.005325878,cosine,4,16,40,0.055796992,COMPLETE
8,0.035270948,12:05.2,51:28.1,0 days 00:39:22.872669,2,8,0.000226872,8,0.080690852,cosine,5,8,30,0.028182318,COMPLETE
9,0.203526512,51:28.1,12:08.1,0 days 00:20:39.976205,4,8,1.04E-05,32,0.038947614,linear,3,8,40,0.017816351,COMPLETE
