number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gradient_accumulation_steps,params_learning_rate,params_lora_alpha,params_lora_dropout,params_lr_scheduler_type,params_num_train_epochs,params_r,params_warmup_steps,params_weight_decay,state
0,0.5483085513114929,2025-09-18 23:33:13.812559,2025-09-18 23:43:13.410713,0 days 00:09:59.598154,8,2,3.117735153165457e-05,32,0.07720766666222961,linear,3,16,30,0.00893971748639132,COMPLETE
1,0.43806886672973633,2025-09-18 23:43:13.425950,2025-09-18 23:59:00.801969,0 days 00:15:47.376019,8,4,9.822963498696081e-05,8,0.08925704542192445,cosine,5,16,30,0.0513805200642507,COMPLETE
2,0.016471603885293007,2025-09-18 23:59:00.812868,2025-09-19 00:09:16.155268,0 days 00:10:15.342400,4,4,0.00036791651202172047,32,0.009191262625736774,cosine,3,16,10,0.048934544102976124,COMPLETE
3,0.01706581749022007,2025-09-19 00:09:16.166118,2025-09-19 00:25:05.493213,0 days 00:15:49.327095,8,4,0.0004450930918472793,32,0.050734747572930776,linear,5,16,50,0.062164408265492556,COMPLETE
4,0.03690546751022339,2025-09-19 00:25:05.504070,2025-09-19 00:32:42.928997,0 days 00:07:37.424927,2,4,8.69385070523794e-05,32,0.0810024935545878,cosine,2,16,0,0.08082603127115462,COMPLETE
5,0.11840704828500748,2025-09-19 00:32:42.939831,2025-09-19 00:48:30.702670,0 days 00:15:47.762839,8,4,0.00019664725614517082,8,0.03915816316739819,cosine,5,32,20,0.002908480428956506,COMPLETE
6,0.5712684988975525,2025-09-19 00:48:30.713344,2025-09-19 00:55:26.634555,0 days 00:06:55.921211,4,2,1.4770247722048933e-05,64,0.04589825375836191,linear,2,32,10,0.020981647937719686,COMPLETE
7,0.016512833535671234,2025-09-19 00:55:26.645152,2025-09-19 01:06:49.766035,0 days 00:11:23.120883,2,2,5.159646372203158e-05,32,0.003158273027748171,cosine,3,16,0,0.02298176832153377,COMPLETE
8,1.01925528049469,2025-09-19 01:06:49.776819,2025-09-19 01:13:21.001535,0 days 00:06:31.224716,8,2,2.0228149265433245e-05,32,0.04496855724936719,linear,2,32,0,0.06353129178338017,COMPLETE
9,0.77698814868927,2025-09-19 01:13:21.013447,2025-09-19 01:19:51.474969,0 days 00:06:30.461522,8,2,9.396176181199262e-05,8,0.027189432453958797,linear,2,32,50,0.08493602426316622,COMPLETE
